,x,y,theta,v
352,4.57005,0.795019,0.401723,4.469078
353,5.040544,0.915575,0.1081,5.279706
354,-6.306258,-0.992296,0.335375,-5.661112
355,-6.875543,-1.097257,0.031892,-5.961031
356,6.930401,0.686344,0.098821,3.940244
357,7.329634,0.791661,0.41184,4.351346
358,0.565206,1.120763,-0.196884,-6.095824
359,-0.057942,1.147372,0.108833,-6.427188
360,0.197032,0.063939,0.379448,1.286562
361,0.367181,0.110358,0.172013,2.246959
362,1.259943,2.623194,1.431471,4.073859
363,1.323809,2.996416,1.369603,3.500285
364,1.323809,2.996416,1.369603,3.500285
365,1.319226,3.565051,1.821478,2.234122
366,1.799747,3.177484,0.49144,0.465626
367,2.032028,3.241521,0.122408,1.955822
368,7.591527,3.968908,1.56167,4.503005
369,7.540308,4.42786,1.80004,4.754916
370,7.540308,4.42786,1.80004,4.754916
371,7.454419,5.418937,1.518873,5.225819
372,-5.724084,-0.20417,-1.306524,1.061713
373,-5.712412,-0.555442,-1.714179,2.476087
374,-6.875543,-1.097257,0.031892,-5.961031
375,-8.127534,-0.911584,-0.318982,-6.760892
376,-6.306258,-0.992296,0.335375,-5.661112
377,-6.855092,-1.20048,0.389091,-6.080141
378,-5.712412,-0.555442,-1.714179,2.476087
379,-5.810292,-0.933992,-1.954602,1.443114
380,-0.520632,1.499595,-0.479822,-5.442839
381,-1.00691,1.712681,-0.345074,-5.183515
382,2.032028,3.241521,0.122408,1.955822
383,2.476358,3.436467,0.667328,2.956028
384,1.259943,2.623194,1.431471,4.073859
385,1.350365,3.005242,1.243053,3.789808
386,6.68314,0.800819,0.826131,2.033614
387,7.140922,1.047518,0.209959,3.248316
388,6.68314,0.800819,0.826131,2.033614
389,6.815491,0.978755,1.030637,2.409327
390,-5.712412,-0.555442,-1.714179,2.476087
391,-5.835852,-0.917024,-2.124806,1.370859
392,3.832702,-1.309689,-0.359255,4.569133
393,4.266232,-1.42961,-0.179615,4.439186
394,2.935058,-1.142013,-1.074192,6.81666
395,3.203447,-1.777606,-1.267423,7.003535
396,-5.712412,-0.555442,-1.714179,2.476087
397,-5.875146,-1.063688,-2.038906,2.884015
398,1.55704,0.691637,-0.517741,-4.831726
399,0.634162,0.916473,0.040585,-4.791493
400,3.203447,-1.777606,-1.267423,7.003535
401,3.473476,-2.449249,-1.111382,7.489004
402,4.266232,-1.42961,-0.179615,4.439186
403,4.688165,-1.451964,0.077855,4.034669
404,7.454419,5.418937,1.518873,5.225819
405,7.468873,5.977768,1.569895,5.955749
406,-1.329647,-0.762888,1.396237,-0.873983
407,-1.346709,-0.863707,1.409416,-1.17108
408,4.688165,-1.451964,0.077855,4.034669
409,5.110756,-1.405665,0.139346,4.46907
410,1.319226,3.565051,1.821478,2.234122
411,1.226285,4.065405,1.692692,2.858502
412,1.55704,0.691637,-0.517741,-4.831726
413,0.658724,1.374203,-0.769539,-6.480065
414,0.367181,0.110358,0.172013,2.246959
415,0.61273,0.178158,0.35935,2.855222
416,2.032028,3.241521,0.122408,1.955822
417,2.425668,3.25937,-0.031356,1.988508
418,-1.27358,-1.295056,1.556299,-3.679361
419,-1.333015,-1.89268,1.373399,-2.334603
420,1.156647,0.288015,0.079847,3.826764
421,2.020113,0.287104,-0.076005,4.816604
422,1.799747,3.177484,0.49144,0.465626
423,1.981684,3.200435,-0.135442,1.39596
424,-1.333015,-1.89268,1.373399,-2.334603
425,-1.345334,-2.204167,1.75088,-0.799796
426,-6.855092,-1.20048,0.389091,-6.080141
427,-7.858917,-1.906814,0.83464,-6.296214
428,3.473476,-2.449249,-1.111382,7.489004
429,3.841433,-3.105052,-1.00775,7.557274
430,1.226285,4.065405,1.692692,2.858502
431,1.154685,4.33183,1.977081,2.677697
432,-6.77131,0.520396,-0.877601,-1.600211
433,-7.133881,0.791827,-0.450296,-2.962548
434,-1.333015,-1.89268,1.373399,-2.334603
435,-1.351846,-2.176703,1.7062,-0.523267
436,1.998882,0.422753,0.248072,-3.609629
437,1.652269,0.385843,-0.038961,-3.385798
438,-5.875146,-1.063688,-2.038906,2.884015
439,-6.04209,-1.567534,-1.734205,2.444361
440,8.967058,-0.181585,-1.005651,4.022626
441,9.255328,-0.512687,-0.711771,4.789132
442,-3.525192,-0.569217,-0.187197,-7.46753
443,-4.240979,-0.36168,-0.377242,-7.460259
444,2.35201,0.464949,-0.011265,-3.523142
445,2.028536,0.485226,-0.116992,-2.962037
446,3.841433,-3.105052,-1.00775,7.557274
447,4.78796,-4.274429,-0.772731,7.52186
